advertiser_id	party
432699783473251	Die Grünen
46699968892	SPD
405462239623589	CDU/CSU
317585369012294	SPD
637450149773400	FDP
169412026440818	CDU/CSU
548980041876949	SPD
194483743943600	FDP
129793317385234	AfD
105469062912351	SPD
387862064617610	Die Grünen
1746473055453235	CDU/CSU
101348801334775	SPD
1082365141836754	Die Linke
348731412468113	SPD
150245161704253	CDU/CSU
232560576906514	CDU/CSU
571061996270002	AfD
110249030620837	Die Grünen
1572312559647154	SPD
121030083009718	CDU/CSU
1409358992660089	SPD
105331217727857	CDU/CSU
1675002419400572	Die Grünen
565074376850912	Die Grünen
174069489298219	CDU/CSU
102017727923411	CDU/CSU
169916066446353	Die Linke
101261121528000	CDU/CSU
560032207402010	CDU/CSU
379780295458467	CDU/CSU
202891703059373	SPD
194381091320551	CDU/CSU
2032459490316266	Andere Parteien
104013904653428	Die Grünen
421504711241546	SPD
111485558944193	SPD
779162705583186	Die Linke
115033676705146	Andere Parteien
259697179304	SPD
293038180840335	Die Grünen
119118201490069	CDU/CSU
294948011158590	FDP
602487899802568	Die Linke
1465795837014483	SPD
197400013689553	CDU/CSU
508280013028775	SPD
273777589728985	Die Grünen
162382360480711	SPD
763657517169359	CDU/CSU
232891533519040	SPD
2279815495375336	Die Grünen
116783588405311	CDU/CSU
748674971931893	AfD
1083902265009736	FDP
100668651929871	CDU/CSU
141382202739659	Die Grünen
314234355346339	CDU/CSU
471807086286893	SPD
276000972569384	Die Grünen
210614502420654	CDU/CSU
202808563160953	FDP
225785300867199	SPD
870550286426379	CDU/CSU
513901295357914	FDP
320901934918482	AfD
109478957267117	SPD
1255187724582050	CDU/CSU
106014820981279	FDP
465531550893020	Die Grünen
249941911792530	CDU/CSU
139106756160180	FDP
320545741931413	CDU/CSU
954987347952113	Die Linke
200841259975587	SPD
124943844303250	CDU/CSU
129337947086651	SPD
178412932204779	Die Linke
353378978043242	SPD
1393964570848671	Die Grünen
137962769704818	Die Linke
167330623321780	SPD
194275744507966	CDU/CSU
194000947338249	SPD
148585028534999	FDP
2251980808451545	Andere Parteien
421843928424887	CDU/CSU
175356572544269	CDU/CSU
913987231978097	AfD
701822583272278	SPD
677794095899270	AfD
226903380780769	Die Grünen
646619342117208	CDU/CSU
155281094543800	CDU/CSU
181486545375086	SPD
118337308237499	Die Linke
109272890613865	Die Linke
445854742819759	FDP
108619697251996	FDP
189233231683071	SPD
413548832162264	Die Grünen
581773901833867	SPD
194593423966954	Die Linke
143562685771500	CDU/CSU
392443231201087	Die Grünen
349893748952904	FDP
104649124486252	FDP
440410746061792	SPD
217220858708004	AfD
190646111623375	AfD
195611320891349	CDU/CSU
736645083395958	AfD
236947233180841	Die Grünen
118612498225271	CDU/CSU
114315916933527	CDU/CSU
241064689942397	AfD
877593122379180	CDU/CSU
388315334557102	SPD
701194693626858	FDP
165927270113539	Die Linke
145308568865769	CDU/CSU
106246149533201	SPD
350214655171362	Die Grünen
151949161505233	CDU/CSU
110043843955679	SPD
320968785199445	SPD
187983344572193	CDU/CSU
490116034356434	SPD
712459832179055	Die Grünen
110081157506620	Die Grünen
983574908390878	SPD
150683938432857	CDU/CSU
228808967228285	CDU/CSU
671132726386385	AfD
396752780459455	Die Linke
1407244726241803	CDU/CSU
229357780969497	FDP
169292693133118	CDU/CSU
1358105004234838	SPD
248464662413	FDP
100787838163946	SPD
101068071305292	CDU/CSU
1465020017066339	CDU/CSU
315330618610585	Die Grünen
703408639818094	FDP
149114541839229	SPD
316693785076772	CDU/CSU
103709661118140	SPD
146947498681487	CDU/CSU
518736058567974	Die Linke
270720956417952	SPD
106054474731777	Die Grünen
1500023256884747	SPD
309266253252788	SPD
451585744990005	Die Linke
312751442108983	SPD
137493346421823	SPD
380162436147660	AfD
103109561175378	CDU/CSU
101621651613075	Die Linke
246553465514271	CDU/CSU
259815718152387	Die Grünen
587271761290487	SPD
152663658248751	Die Linke
198192480292389	CDU/CSU
183215835030799	CDU/CSU
807356352677713	SPD
268877956890	CDU/CSU
152435711633527	Die Linke
229806657076695	CDU/CSU
969753549706725	AfD
288153501787039	SPD
946846542080015	AfD
334979833311527	AfD
512109398917716	Die Grünen
347204042588587	Die Linke
725611977463151	Die Grünen
112131106899518	FDP
101001919989818	CDU/CSU
140421836003941	SPD
458246824225739	SPD
544925018859389	SPD
221980871190313	SPD
290176004421331	Die Grünen
334120300419	CDU/CSU
577518125916206	AfD
111845153760514	Die Grünen
688245224654106	CDU/CSU
513459678814332	CDU/CSU
400923533270421	CDU/CSU
533004983448192	AfD
1127700433929559	AfD
1812249139094166	AfD
139366599526413	CDU/CSU
214334656686098	CDU/CSU
177994762386564	CDU/CSU
106600027618780	CDU/CSU
328997590486756	Die Linke
227155598009240	FDP
1444771925770062	SPD
124118510955121	SPD
622489544781824	CDU/CSU
173662049331543	Die Grünen
302634229761743	SPD
113123693821479	Die Grünen
1763717863921844	Die Linke
142485619108792	FDP
1545804482221870	AfD
101392435200440	Die Grünen
1662669647319096	CDU/CSU
207617922690396	SPD
1555009218088672	CDU/CSU
1026259434088431	SPD
706593332689771	CDU/CSU
133437346718727	FDP
193944157325672	CDU/CSU
416021188444695	FDP
221695524834974	FDP
351851279298	Die Grünen
106631297626608	SPD
121218307892445	CDU/CSU
1281392471913789	Die Grünen
636452669705596	SPD
1535311413448886	SPD
1326205404177474	FDP
1528824154099716	SPD
1051255241587447	Die Grünen
1224202144262985	AfD
1895458617396005	AfD
1449436672016362	FDP
182361448472601	SPD
339310326206364	SPD
1054217334684129	CDU/CSU
235630759933135	AfD
167232096631820	CDU/CSU
242768255751795	Die Linke
122680379247975	FDP
100215810134416	SPD
457029444413684	SPD
104618684565596	Die Grünen
102688177891218	Die Grünen
548949038855591	FDP
1452597921720219	Die Grünen
120768974655040	SPD
365423476926081	CDU/CSU
516823841675813	Die Grünen
153877048013945	SPD
102740614534684	SPD
158663747533894	SPD
